Time,cyber_I_PhaseA,cyber_I_PhaseB,cyber_I_PhaseC,cyber_V_PhaseA,cyber_V_PhaseB,cyber_V_PhaseC,fault_classification,flag_detection,flag_cyber
0.00815,0.388989106,0.14319485,-0.532183956,0.621378315,0.336453157,-0.957831472,0,0,0
0.0082,0.382817674,0.151520226,-0.5343379,0.609565632,0.350732772,-0.960298403,0,0,0
0.00825,0.376551786,0.159808218,-0.536360004,0.597602547,0.364925849,-0.962528396,0,0,0
0.0083,0.37019299,0.168056779,-0.538249768,0.585492012,0.379028887,-0.964520899,0,0,0
0.00835,0.363742854,0.176263874,-0.540006728,0.573237014,0.393038406,-0.966275421,0,0,0
0.0084,0.35720297,0.184427479,-0.541630449,0.560840576,0.406950951,-0.967791527,0,0,0
0.00845,0.350574952,0.192545579,-0.543120531,0.548305756,0.420763088,-0.969068844,0,0,0
0.0085,0.343860435,0.200616171,-0.544476606,0.535635644,0.434471411,-0.970107055,0,0,0
0.00855,0.337061077,0.208637263,-0.54569834,0.522833368,0.448072537,-0.970905905,0,0,0
0.0086,0.330178555,0.216606876,-0.546785432,0.509902086,0.461563111,-0.971465196,0,0,0
0.00865,0.323214568,0.224523045,-0.547737613,0.496844988,0.474939802,-0.97178479,0,0,0
0.0087,0.316170834,0.232383815,-0.548554649,0.483665299,0.48819931,-0.971864609,0,0,0
0.00875,0.30904909,0.240187247,-0.549236337,0.47036627,0.501338363,-0.971704633,0,0,0
0.0088,0.301851095,0.247931416,-0.549782511,0.456951185,0.514353718,-0.971304903,0,0,0
0.00885,0.294578623,0.255614412,-0.550193034,0.443423356,0.527242162,-0.970665519,0,0,0
0.0089,0.28723347,0.263234337,-0.550467807,0.429786121,0.540000516,-0.969786637,0,0,0
0.00895,0.279817447,0.270789314,-0.55060676,0.416042848,0.55262563,-0.968668477,0,0,0
0.009,0.272332384,0.278277477,-0.55060986,0.402196926,0.565114388,-0.967311315,0,0,0
0.00905,0.264780127,0.285696979,-0.550477106,0.388251775,0.57746371,-0.965715485,0,0,0
0.0091,0.25716254,0.29304599,-0.55020853,0.374210833,0.589670549,-0.963881382,0,0,0
0.00915,0.249481501,0.300322697,-0.549804198,0.360077567,0.601731892,-0.961809459,0,0,0
0.0092,0.241738906,0.307525304,-0.54926421,0.345855462,0.613644764,-0.959500226,0,0,0
0.00925,0.233936664,0.314652035,-0.548588699,0.331548026,0.625406227,-0.956954253,0,0,0
0.0093,0.226076701,0.321701131,-0.547777832,0.317158789,0.637013379,-0.954172167,0,0,0
0.00935,0.218160955,0.328670853,-0.546831808,0.302691299,0.648463357,-0.951154656,0,0,0
0.0094,0.210191379,0.335559481,-0.54575086,0.288149124,0.659753337,-0.947902462,0,0,0
0.00945,0.202169941,0.342365316,-0.544535257,0.273535852,0.670880534,-0.944416387,0,0,0
0.0095,0.19409862,0.349086677,-0.543185297,0.258855086,0.681842204,-0.94069729,0,0,0
0.00955,0.185979406,0.355721907,-0.541701314,0.244110447,0.692635642,-0.936746089,0,0,0
0.0096,0.177814304,0.362269369,-0.540083673,0.229305572,0.703258186,-0.932563758,0,0,0
0.00965,0.169605329,0.368727446,-0.538332775,0.214444113,0.713707215,-0.928151328,0,0,0
0.0097,0.161354506,0.375094545,-0.536449051,0.199529738,0.72398015,-0.923509888,0,0,0
0.00975,0.153063871,0.381369095,-0.534432967,0.184566128,0.734074456,-0.918640584,0,0,0
0.0098,0.14473547,0.387549548,-0.532285019,0.169556973,0.743987643,-0.913544616,0,0,0
0.00985,0.136371359,0.393634379,-0.530005737,0.154505981,0.753717263,-0.908223244,0,0,0
0.0099,0.127973601,0.399622085,-0.527595686,0.139416865,0.763260914,-0.902677779,0,0,0
0.00995,0.119544268,0.40551119,-0.525055458,0.124293349,0.772616243,-0.896909592,0,0,0
0.01,0.11108544,0.411300241,-0.522385681,0.109139167,0.781780938,-0.890920106,0,0,0
0.01005,0.102599205,0.416987809,-0.519587014,0.093958059,0.79075274,-0.884710799,0,0,0
0.0101,0.094087657,0.422572491,-0.516660148,0.07875377,0.799529433,-0.878283203,0,0,0
0.01015,0.085552894,0.428052909,-0.513605803,0.063530054,0.808108852,-0.871638906,0,0,0
0.0102,0.076997024,0.433427711,-0.510424735,0.048290665,0.816488881,-0.864779546,0,0,0
0.01025,0.068422156,0.438695571,-0.507117728,0.033039364,0.824667452,-0.857706816,0,0,0
0.0103,0.059830407,0.44385519,-0.503685597,0.017779915,0.832642546,-0.850422461,0,0,0
0.01035,0.051223895,0.448905294,-0.500129189,0.002516081,0.840412197,-0.842928278,0,0,0
0.0104,0.042604745,0.453844637,-0.496449382,-0.012748372,0.847974488,-0.835226116,0,0,0
0.01045,0.033975082,0.458672002,-0.492647084,-0.028009678,0.855327554,-0.827317876,0,0,0
0.0105,0.025337036,0.463386196,-0.488723232,-0.043264072,0.86246958,-0.819205508,0,0,0
0.01055,0.016692738,0.467986057,-0.484678796,-0.058507791,0.869398805,-0.810891013,0,0,0
0.0106,0.008044321,0.47247045,-0.480514771,-0.073737075,0.876113519,-0.802376444,0,0,0
0.01065,-0.000606081,0.476838268,-0.476232188,-0.088948167,0.882612066,-0.793663899,0,0,0
