Time,Va_B5,Vb_B5,Vc_B5,Ia_B5,Ib_B5,Ic_B5
1.679,-0.402298273331099,-0.564995326654771,0.967293600007984,-0.272519361542743,-0.278093012049265,0.550612373451827
1.6795,-0.258967422189474,-0.681732219695268,0.94069964191882,-0.194299671115422,-0.348921645571807,0.543221316572088
1.68,-0.109259933331122,-0.781682605866148,0.890942539242473,-0.11129567935529,-0.411158669687295,0.52245434895532
1.6805,0.0431378998801538,-0.862385370565737,0.819247470740798,-0.025551217402042,-0.463271603801125,0.488822821145926
1.681,0.194473531049452,-0.921853344771941,0.727379813786355,0.0608223998221598,-0.503977252409901,0.443154852561933
1.6815,0.34102058230447,-0.958622232537276,0.617601650303752,0.14569836731248,-0.532273309226247,0.386574941920028
1.682,0.479170572689673,-0.971786656271845,0.492616083658451,0.226986758574306,-0.547463030538128,0.320476272001997
1.6825,0.605521793224598,-0.961022470062314,0.355500676917448,0.30268598112462,-0.549172394539048,0.246486413483579
1.683,0.716963060048615,-0.926594720042116,0.209631660074724,0.370932071358779,-0.537359312614986,0.16642724135463
1.6835,0.810750313053589,-0.869351131958995,0.0586008189861202,0.430044582579893,-0.51231465995828,0.0822700775036578
1.684,0.884574206257237,-0.79070123630542,-0.0938729698735979,0.478567968431514,-0.474655120767702,-0.00391284751477694
1.6845,0.936616944785703,-0.692581648898511,-0.244035295813395,0.515307423794807,-0.42530799720486,-0.0899994264208176
1.685,0.965597065228905,-0.577408405229282,-0.388188659932067,0.539358298824048,-0.365488378585161,-0.173869920053828
1.6855,0.97080098397678,-0.448017449477901,-0.522783534439226,0.550128383496673,-0.296669224138427,-0.253459159161814
1.686,0.952100556781023,-0.307594816105221,-0.644505740625521,0.547352481368659,-0.220545087796753,-0.326807393368938
1.6865,0.90995625743349,-0.159598180136446,-0.750358077257373,0.531098943972262,-0.138990400015724,-0.392108543752032
1.687,0.845405813444057,-0.00767170424872721,-0.837734109167245,0.501767989166551,-0.0540133073988259,-0.447754681566715
1.6875,0.760038671778827,0.144443672220912,-0.904482343983932,0.460081839890364,0.0322937728219155,-0.492375612519718
1.688,0.655956858472144,0.29300236663068,-0.948959225099685,0.407066949666582,0.117805672136531,-0.52487262162374
1.6885,0.5357232065387,0.434346371729944,-0.970069578278251,0.34402872006903,0.200416805774169,-0.544445525681429
1.689,0.402298274435118,0.564995324933707,-0.967293599390941,0.272519360901524,0.278093012040206,-0.550612372801549
1.6895,0.258967422423008,0.681732221066841,-0.940699643523926,0.194299671860229,0.348921645217902,-0.54322131696299
